role,p,mor,ks,n,val
Liar,0.2,1,0,100,7.555564474966947
Liar,0.2,1,1,100,7.494280120408501
Liar,0.2,1,2,100,7.411126257741326
Liar,0.2,1,3,100,7.309174064668547
Liar,0.2,1,4,100,7.204460524685678
Liar,0.2,1,5,100,7.13529429992839
Liar,0.2,1,6,100,7.167263203547412
Liar,0.2,1,7,100,7.381517685036431
Liar,0.2,1,8,100,7.840388100692151
Liar,0.2,1,9,100,8.550955490398543
Liar,0.2,1,10,100,9.4615526255976
Liar,0.2,2,0,100,7.503903394027333
Liar,0.2,2,1,100,7.422201004986248
Liar,0.2,2,2,100,7.31468176663428
Liar,0.2,2,3,100,7.1879341662550384
Liar,0.2,2,4,100,7.065830719240679
Liar,0.2,2,5,100,6.998549518191941
Liar,0.2,2,6,100,7.06207876851948
Liar,0.2,2,7,100,7.336006400943561
Liar,0.2,2,8,100,7.864006142946314
Liar,0.2,2,9,100,8.628505996465263
Liar,0.2,2,10,100,9.564738588147575
Liar,0.2,3,0,100,7.438596177187884
Liar,0.2,3,1,100,7.331962808530011
Liar,0.2,3,2,100,7.195773087476691
Liar,0.2,3,3,100,7.041914202116719
Liar,0.2,3,4,100,6.9044895758318034
Liar,0.2,3,5,100,6.846696907108606
Liar,0.2,3,6,100,6.951934166388253
Liar,0.2,3,7,100,7.291375908738029
Liar,0.2,3,8,100,7.885719391103227
Liar,0.2,3,9,100,8.695933545830604
Liar,0.2,3,10,100,9.650691426374367
Liar,0.2,4,0,100,7.356388529598611
Liar,0.2,4,1,100,7.219747302199791
Liar,0.2,4,2,100,7.050675764511611
Liar,0.2,4,3,100,6.868712380544046
Liar,0.2,4,4,100,6.720648316656068
Liar,0.2,4,5,100,6.682544405334507
Liar,0.2,4,6,100,6.840068955072696
Liar,0.2,4,7,100,7.2489217205817384
Liar,0.2,4,8,100,7.9051622590089234
Liar,0.2,4,9,100,8.75340406295298
Liar,0.2,4,10,100,9.721347126210409
Liar,0.2,5,0,100,7.253458992688762
Liar,0.2,5,1,100,7.081362302790661
Liar,0.2,5,2,100,6.875839217613398
Liar,0.2,5,3,100,6.666948335458348
Liar,0.2,5,4,100,6.516152798029263
Liar,0.2,5,5,100,6.510177636891587
Liar,0.2,5,6,100,6.729929556022244
Liar,0.2,5,7,100,7.2096914546364665
Liar,0.2,5,8,100,7.922165558804159
Liar,0.2,5,9,100,8.801562640900046
Liar,0.2,5,10,100,9.77879841883491
Liar,0.2,6,0,100,7.125443977915942
Liar,0.2,6,1,100,6.912451476740085
Liar,0.2,6,2,100,6.66833891732778
Liar,0.2,6,3,100,6.436801303791683
Liar,0.2,6,4,100,6.294686163481621
Liar,0.2,6,5,100,6.334620526055778
Liar,0.2,6,6,100,6.624754908675814
Liar,0.2,6,7,100,7.174399391749644
Liar,0.2,6,8,100,7.9367308080235555
Liar,0.2,6,9,100,8.841346800817155
Liar,0.2,6,10,100,9.825100327581469
Liar,0.2,7,0,100,6.967548613987465
Liar,0.2,7,1,100,6.708850933829414
Liar,0.2,7,2,100,6.42645920686974
Liar,0.2,7,3,100,6.180489736789287
Liar,0.2,7,4,100,6.061680595589627
